City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description,Rain in inches (last 3 hrs),Snow in inches (last 3 hrs)
0,Provideniya,64.38,-173.3,-8.21,88,0,13.87,RU,2020-03-01 18:16:30,clear sky,0.0,0.0
1,Belyy Yar,53.6,91.39,14.0,92,8,2.24,RU,2020-03-01 18:16:30,clear sky,0.0,0.0
2,Siwana,25.63,72.42,72.95,32,0,9.4,IN,2020-03-01 18:16:30,clear sky,0.0,0.0
3,Bluff,-46.6,168.33,51.01,93,56,4.56,NZ,2020-03-01 18:13:32,broken clouds,0.0,0.0
4,Dingle,11.0,122.67,72.41,85,0,11.39,PH,2020-03-01 18:16:31,clear sky,0.0,0.0
5,Northam,51.03,-4.22,45.0,75,40,8.05,GB,2020-03-01 18:16:31,scattered clouds,0.0,0.0
6,Shenxian,36.24,115.67,42.78,34,100,4.72,CN,2020-03-01 18:16:31,overcast clouds,0.0,0.0
7,Bud,39.45,-86.18,57.99,43,75,18.34,US,2020-03-01 18:16:31,broken clouds,0.0,0.0
8,Ancud,-41.87,-73.82,73.4,49,0,8.05,CL,2020-03-01 18:16:32,clear sky,0.0,0.0
9,Busselton,-33.65,115.33,61.0,39,0,15.01,AU,2020-03-01 18:13:51,clear sky,0.0,0.0
10,Arraial Do Cabo,-22.97,-42.03,75.2,83,40,12.75,BR,2020-03-01 18:16:32,scattered clouds,0.0,0.0
11,Morondava,-20.28,44.28,78.19,76,15,4.81,MG,2020-03-01 18:16:32,few clouds,0.0,0.0
12,Santa Cruz Del Sur,20.71,-78.0,75.88,60,0,22.15,CU,2020-03-01 18:13:29,clear sky,0.0,0.0
13,Henties Bay,-22.12,14.28,69.48,72,7,8.59,NA,2020-03-01 18:16:33,clear sky,0.0,0.0
14,Sorgun,39.81,35.19,36.14,70,100,4.76,TR,2020-03-01 18:16:33,overcast clouds,0.0,0.0
15,Egvekinot,66.32,-179.17,-9.99,79,0,5.28,RU,2020-03-01 18:12:59,clear sky,0.0,0.0
16,Tuatapere,-46.13,167.68,51.01,93,38,3.22,NZ,2020-03-01 18:16:33,scattered clouds,0.0,0.0
17,Aklavik,68.22,-135.01,-18.4,75,75,6.93,CA,2020-03-01 18:16:33,broken clouds,0.0,0.0
18,Palmer,42.16,-72.33,36.0,30,20,18.34,US,2020-03-01 18:16:33,few clouds,0.0,0.0
19,Albany,42.6,-73.97,36.0,34,20,12.75,US,2020-03-01 18:16:34,few clouds,0.0,0.0
20,Rikitea,-23.12,-134.97,80.19,80,100,12.1,PF,2020-03-01 18:16:34,light rain,1.69,0.0
21,Vaini,-21.2,-175.2,78.8,88,20,6.93,TO,2020-03-01 18:13:32,few clouds,0.0,0.0
22,Hobart,-42.88,147.33,53.6,87,75,10.29,AU,2020-03-01 18:11:49,moderate rain,0.0,0.0
23,Los Llanos De Aridane,28.66,-17.92,68.0,72,75,8.05,ES,2020-03-01 18:16:35,broken clouds,0.0,0.0
24,Atuona,-9.8,-139.03,82.0,77,36,18.79,PF,2020-03-01 18:16:35,scattered clouds,0.0,0.0
25,Puerto Ayora,-0.74,-90.35,87.8,62,20,14.99,EC,2020-03-01 18:16:35,few clouds,0.0,0.0
26,Kaitangata,-46.28,169.85,57.0,89,67,1.99,NZ,2020-03-01 18:16:35,broken clouds,0.0,0.0
27,Gamba,-2.65,10.0,80.11,81,42,9.13,GA,2020-03-01 18:16:35,scattered clouds,0.0,0.0
28,Stornoway,58.21,-6.39,41.0,86,75,5.82,GB,2020-03-01 18:16:35,moderate rain,0.0,0.0
29,Lima,-12.04,-77.03,80.6,65,53,14.99,PE,2020-03-01 18:12:44,broken clouds,0.0,0.0
30,Mitoc,48.1,27.03,48.0,65,66,9.17,RO,2020-03-01 18:14:54,broken clouds,0.0,0.0
31,New Norfolk,-42.78,147.06,53.6,87,75,10.29,AU,2020-03-01 18:16:36,moderate rain,0.0,0.0
32,Cape Town,-33.93,18.42,72.0,88,49,19.46,ZA,2020-03-01 18:12:31,scattered clouds,0.0,0.0
33,Berlevag,70.86,29.09,23.0,73,75,4.7,NO,2020-03-01 18:16:22,broken clouds,0.0,0.0
34,Luis Correia,-2.88,-41.67,87.8,70,40,11.41,BR,2020-03-01 18:16:36,scattered clouds,0.0,0.0
35,Mataura,-46.19,168.86,51.01,93,56,1.99,NZ,2020-03-01 18:16:36,broken clouds,0.0,0.0
36,Yellowknife,62.46,-114.35,-11.99,74,75,9.17,CA,2020-03-01 18:13:26,broken clouds,0.0,0.0
37,Jamestown,42.1,-79.24,39.0,47,1,9.17,US,2020-03-01 18:16:37,clear sky,0.0,0.0
38,Kuala Terengganu,5.33,103.14,74.68,86,74,2.42,MY,2020-03-01 18:16:37,broken clouds,0.0,0.0
39,Tiarei,-17.53,-149.33,78.01,94,75,25.28,PF,2020-03-01 18:16:37,heavy intensity rain,0.0,0.0
40,Puerto Escondido,15.85,-97.07,86.0,84,5,5.82,MX,2020-03-01 18:16:38,clear sky,0.0,0.0
41,Amga,60.9,131.96,-7.1,100,61,0.63,RU,2020-03-01 18:16:38,broken clouds,0.0,0.0
42,Georgetown,5.41,100.34,84.2,79,20,2.24,MY,2020-03-01 18:13:22,few clouds,0.0,0.0
43,Varkaus,62.32,27.87,32.0,97,90,10.29,FI,2020-03-01 18:16:39,light snow,0.0,0.0
44,Samarai,-10.62,150.67,76.75,84,86,2.98,PG,2020-03-01 18:16:39,overcast clouds,0.0,0.0
45,Saskylakh,71.92,114.08,5.79,76,97,12.08,RU,2020-03-01 18:12:58,overcast clouds,0.0,0.0
46,Providencia,28.72,-111.58,75.99,35,80,1.01,MX,2020-03-01 18:16:39,broken clouds,0.0,0.0
47,Kolokani,13.57,-8.03,93.96,5,0,5.66,ML,2020-03-01 18:16:40,clear sky,0.0,0.0
48,Rameswaram,9.28,79.3,80.29,74,93,19.15,IN,2020-03-01 18:12:59,overcast clouds,0.0,0.0
49,Saldanha,-33.01,17.94,62.6,82,5,14.99,ZA,2020-03-01 18:16:41,clear sky,0.0,0.0
50,Kahului,20.89,-156.47,66.2,72,40,17.22,US,2020-03-01 18:16:41,scattered clouds,0.0,0.0
51,Siniscola,40.57,9.69,50.81,65,39,16.06,IT,2020-03-01 18:16:41,scattered clouds,0.0,0.0
52,East London,-33.02,27.91,71.6,78,0,11.41,ZA,2020-03-01 18:16:41,clear sky,0.0,0.0
53,Qaqortoq,60.72,-46.03,8.6,46,0,2.24,GL,2020-03-01 18:16:41,clear sky,0.0,0.0
54,Tezu,27.92,96.17,62.71,42,7,4.81,IN,2020-03-01 18:16:42,clear sky,0.0,0.0
55,Punta Arenas,-53.15,-70.92,64.4,45,40,14.99,CL,2020-03-01 18:16:42,scattered clouds,0.0,0.0
56,Roald,62.58,6.13,37.0,69,99,20.8,NO,2020-03-01 18:12:47,light snow,0.0,0.13
57,Podosinovets,60.28,47.07,26.51,90,68,9.69,RU,2020-03-01 18:16:42,broken clouds,0.0,0.0
