City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
20,Rikitea,PF,80.19,light rain,-23.12,-134.97,Pension Maro'i
76,Riachao,BR,89.13,light rain,-7.36,-46.62,Hotel Universal
81,Kavieng,PG,83.7,moderate rain,-2.57,150.8,Nusa Island Retreat
89,Castro,BR,71.35,light rain,-24.79,-50.01,CHACARA BAILLY
102,San Policarpo,PH,76.86,light rain,12.18,125.51,Zal-Ann Beach Resort
120,Lastoursville,GA,76.19,light rain,-0.81,12.73,Auberge Bon Coin 02
121,Sibolga,ID,73.0,light rain,1.74,98.78,Hotel Syariah CN Darussalam
127,Singaparna,ID,72.0,light rain,-7.35,108.11,"H. maman Sukirman ""Koran"""
130,Buala,SB,81.91,light rain,-8.14,159.59,Maringe Lagoon Lodge
146,Butaritari,KI,83.16,light rain,3.07,172.79,Isles Sunset Lodge
152,Harper,LR,79.75,moderate rain,4.38,-7.72,Cape View Guest House
174,Avarua,CK,80.6,light rain,-21.21,-159.78,Paradise Inn
182,Quelimane,MZ,77.74,light rain,-17.88,36.89,Hotel Flamingo
204,Ahipara,NZ,70.0,light rain,-35.17,173.17,Ahipara Holiday Park
212,Madang,PG,77.95,heavy intensity rain,-5.22,145.8,Comfort Inn Hotel
222,Trairi,BR,82.18,moderate rain,-3.28,-39.27,Pousada Field Lilies - Trairi
234,Alugan,PH,76.86,light rain,12.22,125.48,BEMBEM RAIN FEED RESORT
247,Itarema,BR,83.62,light rain,-2.92,-39.92,Windvillage
274,Kaeo,NZ,70.0,light rain,-35.1,173.78,Bushido Lodge
285,Barra Patuca,HN,78.1,light rain,15.8,-84.28,
297,Amuntai,ID,75.16,light rain,-2.42,115.25,Hotel Balqis
300,Namatanai,PG,83.39,light rain,-3.67,152.43,Namatanai Hotel
325,Ambajogai,IN,73.9,light rain,18.73,76.38,Hotel Krushnai
334,Sao Felix Do Xingu,BR,84.67,light rain,-6.64,-51.99,Apart Hotel Rio Xingu
336,Aracuai,BR,83.37,light rain,-16.85,-42.07,Village das Minas Hotel
352,Faanui,PF,81.75,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
355,Waingapu,ID,83.25,light rain,-9.66,120.26,Pondok Wisata Elim
356,Alyangula,AU,82.4,light rain,-13.85,136.42,Groote Eylandt Lodge
357,Chikmagalur,IN,73.62,light rain,13.32,75.78,Gateway Chikmagalur - IHCL SeleQtions
388,Thinadhoo,MV,82.9,light rain,0.53,72.93,
391,Tsaratanana,MG,71.04,light rain,-16.78,47.65,
397,Yenagoa,NG,84.7,light rain,4.92,6.26,Amba Hotels Limited
408,Achutupo,PA,82.53,light rain,9.2,-77.98,akwa reef lodge
410,Poum,NC,82.4,light rain,-20.23,164.02,Gîte kajeon
