City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Meulaboh,4.14,96.13,84.31,71,79,3.91,ID,2020-03-01 05:29:31
1,Saskylakh,71.92,114.08,2.44,90,77,13.42,RU,2020-03-01 05:29:31
2,Yulara,-25.24,130.99,95.0,28,100,16.11,AU,2020-03-01 05:29:31
3,Faanui,-16.48,-151.75,79.83,88,100,36.26,PF,2020-03-01 05:29:31
4,Fortuna,40.6,-124.16,46.99,81,90,5.82,US,2020-03-01 05:29:31
5,Amuntai,-2.42,115.25,91.85,55,100,1.7,ID,2020-03-01 05:29:32
6,Mataura,-46.19,168.86,62.98,58,52,8.77,NZ,2020-03-01 05:29:32
7,Horta,38.53,-28.63,58.51,86,87,22.59,PT,2020-03-01 05:30:46
8,Butaritari,3.07,172.79,82.98,81,96,22.84,KI,2020-03-01 05:29:32
9,Talnakh,69.49,88.4,8.6,84,99,33.55,RU,2020-03-01 05:29:33
10,Port Macquarie,-31.43,152.92,84.2,62,13,14.99,AU,2020-03-01 05:31:20
11,Avarua,-21.21,-159.78,77.0,88,0,12.75,CK,2020-03-01 05:31:20
12,Vaini,-21.2,-175.2,82.4,78,20,8.05,TO,2020-03-01 05:31:20
13,Karratha,-20.74,116.85,85.48,80,25,8.81,AU,2020-03-01 05:29:33
14,Rikitea,-23.12,-134.97,80.11,80,100,14.63,PF,2020-03-01 05:31:20
15,Busselton,-33.65,115.33,82.0,27,47,19.26,AU,2020-03-01 05:29:34
16,Bredasdorp,-34.53,20.04,64.0,87,35,4.7,ZA,2020-03-01 05:29:34
17,Severobaykalsk,55.65,109.32,15.82,82,19,2.42,RU,2020-03-01 05:29:34
18,Pokrovka,42.34,78.01,35.65,82,0,4.68,KG,2020-03-01 05:29:34
19,Praia Da Vitoria,38.73,-27.07,59.0,93,20,27.42,PT,2020-03-01 05:29:34
20,Kushima,31.46,131.23,55.4,76,75,3.36,JP,2020-03-01 05:24:56
21,Noumea,-22.28,166.46,86.0,66,99,12.75,NC,2020-03-01 05:24:35
22,Ostrovnoy,68.05,39.51,26.58,90,100,14.85,RU,2020-03-01 05:29:35
23,Bengkulu,-3.8,102.27,89.92,56,99,5.44,ID,2020-03-01 05:29:35
24,Bimbo,4.26,18.42,73.4,83,75,5.82,CF,2020-03-01 05:29:35
25,Punta Arenas,-53.15,-70.92,55.4,82,97,16.11,CL,2020-03-01 05:29:36
26,La Ronge,55.1,-105.28,21.2,79,90,16.11,CA,2020-03-01 05:29:36
27,Nhulunbuy,-12.23,136.77,87.8,70,100,8.05,AU,2020-03-01 05:29:36
28,Qaanaaq,77.48,-69.36,-25.53,66,0,5.32,GL,2020-03-01 05:29:36
29,Ushuaia,-54.8,-68.3,51.8,87,75,20.8,AR,2020-03-01 05:29:36
30,Chengde,40.97,117.94,37.8,30,17,13.98,CN,2020-03-01 05:29:36
31,Victoria,22.29,114.16,86.0,65,20,6.93,HK,2020-03-01 05:28:13
32,East London,-33.02,27.91,64.4,82,0,6.93,ZA,2020-03-01 05:25:07
33,Hilo,19.73,-155.09,69.8,77,90,8.88,US,2020-03-01 05:29:38
34,Adrar,20.5,-10.07,65.71,15,0,9.57,MR,2020-03-01 05:29:38
35,Soledade,-28.82,-52.51,56.61,88,0,3.85,BR,2020-03-01 05:29:38
36,Bonthe,7.53,-12.51,74.12,95,1,5.03,SL,2020-03-01 05:29:38
37,Lebu,-37.62,-73.65,50.34,94,0,0.96,CL,2020-03-01 05:25:27
38,Iwanai,42.97,140.51,32.25,86,98,3.36,JP,2020-03-01 05:29:38
39,Pevek,69.7,170.31,-4.7,99,100,5.44,RU,2020-03-01 05:29:39
40,Bethel,41.37,-73.41,25.0,48,1,6.93,US,2020-03-01 05:29:39
41,Hithadhoo,-0.6,73.08,82.71,77,33,12.66,MV,2020-03-01 05:26:19
42,Esperance,-33.87,121.9,64.4,68,90,24.16,AU,2020-03-01 05:29:39
43,Hermanus,-34.42,19.23,68.0,84,2,8.99,ZA,2020-03-01 05:29:39
44,Saint Anthony,45.02,-93.22,39.99,80,1,14.99,US,2020-03-01 05:29:39
45,Calama,-22.47,-68.93,53.6,66,0,10.29,CL,2020-03-01 05:29:39
46,Anori,-3.77,-61.64,74.43,92,97,1.03,BR,2020-03-01 05:29:40
47,Port Alfred,-33.59,26.89,66.99,86,0,18.43,ZA,2020-03-01 05:29:40
48,Aldan,58.6,125.39,7.34,84,100,3.62,RU,2020-03-01 05:29:40
49,Barrow,71.29,-156.79,-18.4,82,1,5.82,US,2020-03-01 05:29:40
50,Tasiilaq,65.61,-37.64,15.8,92,100,3.36,GL,2020-03-01 05:29:40
